|Gl 818.1 C      |Wo 9719 C    |21 09 23.73|-73 10 26.9|2MASS J21092379-7310270| 7.772| 7.344| 7.338|
|Gl 818.1 AB     |Wo 9719 AB   |21 09 22.45|-73 10 22.7|2MASS J21092250-7310235| 4.340| 3.965| 4.187|
|GJ 3773         |             |13 16 16.55|-73 08 34.5|2MASS J13161652-7308345| 9.249| 8.643| 8.403|
|Gl 637          |HIP 82256    |16 48 24.47|-72 58 33.9|2MASS J16482446-7258342| 8.040| 7.479| 7.224|
|Gl 902          |HIP 116745   |23 39 37.39|-72 43 19.8|2MASS J23393736-7243197| 5.249| 4.745| 4.581|
|GJ 3167         |HIP 11852    |02 32 58.93|-72 41 14.8|2MASS J02325892-7241148| 6.904| 6.375| 6.210|
|GJ 1244         |HIP 98106    |19 56 16.15|-72 21 51.5|2MASS J19561613-7221515| 6.589| 6.100| 5.946|
|Gl 855.1 AB     |HIP 110618   |22 24 36.89|-72 15 19.5|2MASS J22243688-7215193| 4.146| 3.586| 3.543|
|GJ 3344         |             |05 16 00.39|-72 14 12.6|2MASS J05160040-7214135| 8.209| 7.623| 7.362|
|GJ 1264         |HIP 107705 A |21 49 05.85|-72 06 09.0|2MASS J21490591-7206085| 6.535| 5.840| 5.648|
|GJ 3740         |             |12 42 19.67|-71 38 20.2|2MASS J12421964-7138202| 9.169| 8.536| 8.222|
|GJ 3521         |             |08 55 04.74|-71 35 48.1|2MASS J08550473-7135480|10.165| 9.592| 9.340|
|Gl 467 B        |             |12 28 43.04|-71 27 56.5|2MASS J12284295-7127553|10.977|10.498|10.181|
|Gl 467 A        |             |12 28 39.99|-71 27 51.5|2MASS J12283989-7127503| 9.811| 9.304| 9.051|
|GJ 2076         |             |09 55 22.89|-71 18 08.3|2MASS J09552288-7118083|13.794|13.844|13.917|
|GJ 4121         |             |19 47 04.49|-71 05 33.1|2MASS J19470449-7105334| 9.786| 9.215| 8.980|
|Gl 611.1        |Wo 9544      |16 09 13.46|-71 04 10.6|2MASS J16091344-7104106| 5.991| 5.654| 5.552|
|GJ 2028         |             |02 56 17.23|-70 22 10.9|2MASS J02561721-7022108|14.036|14.125|13.987|
|GJ 3943         |             |16 13 05.93|-70 09 08.0|2MASS J16130591-7009081| 9.262| 8.735| 8.388|
|Gl 217.2        |Wo 9191      |05 44 31.92|-70 08 36.9|2MASS J05443201-7008391| 6.598| 6.212| 6.094|
|Gl 624          |HIP 80686    |16 28 28.14|-70 05 03.9|2MASS J16282814-7005037| 4.110| 3.646| 3.661|
|GJ 4318         |HIP 114708   |23 14 08.30|-70 03 29.5|2MASS J23140827-7003294| 5.605| 5.223| 5.096|
|Gl 665 B        |HIP 84827 B  |17 20 12.80|-70 02 43.9|2MASS J17201270-7002435| 5.440| 5.131| 5.042|
|Gl 665 A        |HIP 84827 A  |17 20 12.68|-70 02 43.3|2MASS J17201270-7002435| 5.440| 5.131| 5.042|
|GJ 3397         |             |06 32 21.93|-69 57 43.9|2MASS J06322189-6957445| 9.226| 8.609| 8.378|
|Gl 847 B        |             |22 04 07.74|-69 55 40.2|2MASS J22040782-6955402|10.097| 9.556| 9.309|
|Gl 847 A        |HIP 108930   |22 04 05.82|-69 55 29.9|2MASS J22040588-6955300| 8.437| 7.783| 7.590|
|Gl 339.2        |Wo 9292      |09 13 11.98|-69 43 02.0|2MASS J09131197-6943017| 1.493| 1.500| 1.487|
|GJ 1287         |             |23 38 12.55|-69 05 57.5|2MASS J23381267-6905576| 9.742| 9.243| 8.961|
|GJ 3243         |             |03 38 10.05|-68 56 45.5|2MASS J03380997-6856460| 8.210| 7.602| 7.372|
|GJ 1128         |             |09 42 46.36|-68 53 06.1|2MASS J09424635-6853060| 7.953| 7.385| 7.037|
|Gl 55.3 A       |Wo 9049 A    |01 15 46.16|-68 52 33.4|2MASS J01154602-6852331| 3.759| 3.457| 3.876|
|Gl 55.3 B       |Wo 9049 B    |01 15 45.58|-68 52 29.6|2MASS J01154602-6852331| 3.759| 3.457| 3.876|
|GJ 1280         |HIP 114416   |23 10 20.57|-68 50 20.0|2MASS J23102054-6850199| 6.824| 6.280| 6.147|
|Gl 55.1 AB      |HIP 5842     |01 15 00.99|-68 49 08.1|2MASS J01150082-6849081| 5.588| 5.066| 4.980|
