Blum	0.0079	Wright, D.J; Wittenmyer, R.A.; Bentley, C.G.; Riedel, J.S.; Jinglin, Zhao (17 December 2015). "Three planets orbiting Wolf 1061"

name	Gl35	Van Maanen 2
Teff	6220	Sion, Edward M.; et al. (December 2009), "The White Dwarfs Within 20 Parsecs of the Sun: Kinematics and Statistics", The Astronomical Journal 138 (6): 1681–1689

name	Gl1
Teff	3567	Neves, V.; et al. (August 2014), "Metallicity of M dwarfs. IV. A high-precision [Fe/H] and Teff technique from high-resolution optical spectra for M dwarfs", Astronomy & Astrophysics 568: 22


name	Gl473AB	Wolf 424 A
Teff	3120	spectral type M5 ??

name	GJ473B	Wolf 424 B
Teff	2800	spectral type M6 ??

name	Gl83.1	TZ Arietis
Blum	0.00135	McLean, M.; Berger, E.; Reiners, A. (February 2012), "The Radio Activity-Rotation Relation of Ultracool Dwarfs", The Astrophysical Journal 746 (1):

name	Gl687
Teff	3095	Berger, D. H.; et al. (2006). "First Results from the CHARA Array. IV. The Interferometric Radii of Low-Mass Stars". The Astrophysical Journal 644 (1): 475–483

name	Gl674
Teff	3600


name	Gl876
Teff	3473	Rojas-Ayala, Bárbara; et al. (April 2012). "Metallicity and Temperature Indicators in M Dwarf K-band Spectra: Testing New and Updated Calibrations with Observations of 133 Solar Neighborhood M Dwarfs". The Astrophysical Journal 748 (2): 93
Blum	0.013	Correia, A. C. M.; et al. (February 2010). "The HARPS search for southern extra-solar planets. XIX. Characterization and dynamics of the GJ 876 planetary system". Astronomy and Astrophysics 511


name	Gl380	Groombridge 1618
Teff	3970	 Woolf, Vincent M.; Wallerstein, George (January 2005). "Metallicity measurements using atomic lines in M and K dwarf stars". Monthly Notices of the Royal Astronomical Society 356 (3): 963–968
Mbol	0.15	Eiroa, C.; et al. (December 2011), "Herschel discovery of a new class of cold, faint debris discs", Astronomy & Astrophysics 536: L4

name	Gl768	Altair
Teff	7500
Blum	10.6

name	Gl166A	40 Eri
Teff	5300
Blum	0.46

name	Gl139	82 Eri
Teff	5401
Blum	0.74

name	Gl702	70 Oph
Teff	5300
Blum	0.51

name	Gl34A	eta Cas
Teff	6087
Blum	1.29

name	Gl764	sigma Dra
Teff	5299
Blum	0.428

name	Gl780	delta Pav
Teff	5604
Blum	1.22

name	Gl663A	36 Oph A
Teff	4843
Blum	0.33

name	Gl663B	36 Oph B
Teff	5100
Blum	0.40

name	Gl475	beta CVn
Teff	5653
Blum	1.151

name	Gl502	beta Com
Teff	5936
Blum	1.357

name	Gl827	gam Pav
Teff	6112
Blum	1.52 

name	Gl222AB	Chi1 Ori
Teff	5955
Blum	1.081

name	Gl53AB	mu Cas
Teff	5332
Blum	0.442

name	Gl506	61 Vir
Teff	5585
Blum	0.85

# name	Gl17	zet Tuc
# name	Gl566A	ksi Boo A
	

# end of file

